药物id,对照组索引,x_6索引,x_24索引,剂量大小
COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O,REP.A006_HT29_24H_X1_B22:F07-2,CPC010_HT29_6H_X2_B3_DUO52HI53LO:C01-1,LJP006_HT29_24H_X2_B19:O01-2,10.0
Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1,LJP008_MCF7_24H_X3_B20:P21-2,CPC013_MCF7_6H_X2_B3_DUO52HI53LO:O12-1,LJP007_MCF7_24H_X1_B20:G13-2,10.0
COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O,MUC.CP004_MCF7_24H_X3_B7_DUO52HI53LO:B17-1,CPC006_MCF7_6H_X3_B3_DUO52HI53LO:A03-1,LJP006_MCF7_24H_X2_B17:O01-2,10.0
OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12,REP.A022_MCF7_24H_X1_B23:A05-2,CPC005_MCF7_6H_X1_B3_DUO52HI53LO:O13-1,LJP007_MCF7_24H_X2_B20:B04-2,10.0
CCCC[C@@H](C)/C=C(\C)/C=C(\C)/C(=O)NC1=C[C@@](O)(\C=C\C=C\C=C\C(=O)NC2C(=O)CCC2=O)[C@@H]3O[C@@H]3C1=O,LJP007_A549_24H_X2_F1B19:J14-2,CPC005_A549_6H_X1_B3_DUO52HI53LO:O09-1,CPC005_A549_24H_X3_B3_DUO52HI53LO:O17-1,10.0
CC(\C=C(C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C,HOG002_A549_6H_X2_F1B10:G24-1,CPC012_A549_6H_X3_F1B3_DUO52HI53LO:B03-1,CPC005_A549_24H_X2_B3_DUO52HI53LO:B03-1,10.0
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc12,LJP005_HA1E_24H_X3_B19:F10-2,CPC004_HA1E_6H_X3_B3_DUO52HI53LO:C09-1,CPC004_HA1E_24H_X2_B3_DUO52HI53LO:C09-1,10.0
CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c1ccc(Cl)cc1,REP.A002_HA1E_24H_X2_B22:B06-2,CPC002_HA1E_6H_X3_B3_DUO52HI53LO:A22-1,CPC002_HA1E_24H_X1_B3_DUO52HI53LO:A22-1,10.0
C[C@@H]1NCCc2cc(O)c(O)cc12,REP.A017_HA1E_24H_X1_B23:A06-2,CPC004_HA1E_6H_X1_B3_DUO52HI53LO:A23-1,CPC004_HA1E_24H_X3_B3_DUO52HI53LO:A23-1,10.0
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1C[C@@H](O)[C@@H]2O,LJP006_HCC515_24H_X1_B19:A06-2,CPC001_HCC515_6H_X1_B3_DUO52HI53LO:N18-1,CPC001_HCC515_24H_X3_B3_DUO52HI53LO:N18-1,10.0
CN1CCc2c(Cc3ccccc3CC1)[nH]c4ccccc24,CPC006_HCC515_6H_X2_B5_DUO52HI53LO:A17-1,CPC003_HCC515_6H_X3_B3_DUO52HI53LO:J06-1,CPC003_HCC515_24H_X2_B3_DUO52HI53LO:J06-1,10.0
COc1cc(C)c2c(=O)c3c(O)cc(O)cc3oc2c1,PCLB001_HCC515_6H_X2_F2B6_DUO52HI53LO:C17-1,CPC003_HCC515_6H_X3_B3_DUO52HI53LO:C21-1,CPC003_HCC515_24H_X3_B3_DUO52HI53LO:C21-1,10.0
COCc1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1,LJP006_HCC515_24H_X1_B19:A04-2,CPC001_HCC515_6H_X1_B3_DUO52HI53LO:N23-1,CPC001_HCC515_24H_X2_B3_DUO52HI53LO:N23-1,10.0
CN1CCN2C(C1)c1ccccc1Cc1cccnc21,CPC001_HCC515_6H_X1_B3_DUO52HI53LO:A18-1,CPC004_HCC515_6H_X1_B3_DUO52HI53LO:A16-1,CPC004_HCC515_24H_X3_B3_DUO52HI53LO:A16-1,10.0
Oc1ccc2CC3N(CC4CC4)CCC5(C6Oc1c25)C3(O)Cc7c6oc8ccccc78,CPC006_HCC515_24H_X1_B4_DUO52HI53LO:N09-1,CPC001_HCC515_6H_X2_B3_DUO52HI53LO:J05-1,CPC001_HCC515_24H_X1_B3_DUO52HI53LO:J05-1,10.0
Clc1ccc(cc1)C(=O)N[C@H]1CN2CCC1CC2,CPC005_HCC515_6H_X2_F1B4_DUO52HI53LO:N10-1,CPC003_HCC515_6H_X2_B3_DUO52HI53LO:E03-1,CPC003_HCC515_24H_X3_B3_DUO52HI53LO:E03-1,10.0
CC(=CC=CC(=CC(=O)O)C)C=CC1=C(C)CCCC1(C)C,LJP005_HCC515_24H_X1_B19:A04-2,CPC002_HCC515_6H_X3_B3_DUO52HI53LO:B12-1,CPC002_HCC515_24H_X3_B3_DUO52HI53LO:B12-1,10.0
Cc1cc(C)c(c(C)c1)S(=O)(=O)Nc1ccccc1C(F)(F)F,LJP008_HCC515_24H_X1_B20:F07-2,CPC004_HCC515_6H_X1_B3_DUO52HI53LO:M22-1,CPC004_HCC515_24H_X2_B3_DUO52HI53LO:M22-1,10.0
CN1CCN(CC1)C2=Nc3cc(F)ccc3Cc4ccccc24,RAD001_HCC515_6H_X1_F1B5_DUO52HI53LO:M23-1,CPC010_HCC515_6H_X2_B4_DUO52HI53LO:M21-1,CPC003_HCC515_24H_X1_B3_DUO52HI53LO:H16-1,10.0
CC(\C=C(C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C,RAD001_HCC515_6H_X1_F1B5_DUO52HI53LO:F24-1,CPC014_HCC515_6H_X1_F1B3_DUO52HI53LO:B03-1,CPC001_HCC515_24H_X1_B3_DUO52HI53LO:B03-1,10.0
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)CCl,CPC006_HT29_6H_X4_B4_DUO52HI53LO:J16-1,CPC005_HT29_6H_X1_B3_DUO52HI53LO:D24-1,CPC005_HT29_24H_X1_B3_DUO52HI53LO:D24-1,10.0
Clc1cccc(Cl)c1N=C1NCCN1,CPC006_HT29_24H_X3_B3_DUO52HI53LO:B17-1,CPC004_HT29_6H_X4_B5_DUO52HI53LO:C17-1,CPC006_HT29_24H_X5_B4_DUO52HI53LO:E15-1,10.0
Oc1ccc(cc1)-c1sc2cc(O)ccc2c1C(=O)c1ccc(OCCN2CCCCC2)cc1,REP.A016_HT29_24H_X3_B23:B04-2,CPC004_HT29_6H_X5_B5_DUO52HI53LO:L07-1,PCLB003_HT29_24H_X1_B13:P01-1,10.0
CC(\C=C(C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C,LJP006_HT29_24H_X3_B19:N24-2,CPC004_HT29_6H_X1_B3_DUO52HI53LO:B03-1,DOSBIO001_HT29_24H_X3_B11:K03-1,10.0
COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O,DOS049_HT29_24H_X1_F3B5_DUO52HI53LO:N13-1,CPC019_HT29_6H_X4_B5_DUO52HI53LO:A03-1,CPC005_HT29_24H_X3_B3_DUO52HI53LO:A03-1,10.0
COc1ccc(cc1OC1CCCC1)C1CNC(=O)C1,CPC010_MCF7_6H_X4_F1B5_DUO52HI53LO:O02-1,CPC004_MCF7_6H_X4_F1B5_DUO52HI53LO:L23-1,CPC006_MCF7_24H_X4_B4_DUO52HI53LO:E08-1,10.0
Nc1nc2ccc(Cl)cc2c2nc(nn12)-c1ccco1,REP.A021_MCF7_24H_X1_B23:B04-2,MUC.CP002_MCF7_6H_X3_B7_DUO52HI53LO:L23-1,CPC005_MCF7_24H_X4_B5_DUO52HI53LO:B13-1,10.0
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@H](C)CC2C3[C@H](Cl)CC4=CC(=O)C=C[C@]4(C)C3[C@@H](O)C[C@@]21C,CPC009_PC3_24H_X3_F1B4_DUO52HI53LO:N10-1,CPC004_PC3_6H_X3_B3_DUO52HI53LO:L22-1,CPC004_PC3_24H_X3_B3_DUO52HI53LO:L22-1,10.0
CCC1(CCC(=O)NC1=O)c1ccc(N)cc1,HDAC001_PC3_24H_X1_F1B3_DUO52HI53LO:F21-1,CPC004_PC3_6H_X2_B3_DUO52HI53LO:D13-1,CPC009_PC3_24H_X5_F1B5_DUO52HI53LO:H24-1,10.0
COc1ccc(Nc2nccc(NCCO)n2)cc1,DOS046_PC3_24H_X1_F2B3_DUO52HI53LO:D12-1,CPC001_PC3_6H_X5.L2_F2B5_DUO52HI53LO:D07-1,CPC001_PC3_24H_X1_B3_DUO52HI53LO:D07-1,10.0
CN(C)CCCc1cc(ccc1O)C(=O)Nc2ccc(cc2)c3ccncc3,CPC010_PC3_6H_X4_F1B5_DUO52HI53LO:J02-1,CPC002_PC3_6H_X5_F1B5_DUO52HI53LO:J04-1,CPC002_PC3_24H_X4_B4_DUO52HI53LO:J04-1,10.0
c1ccc(cc1)-c1n[nH]c2c1oc1ccccc21,REP.A027_PC3_24H_X3_B25:A05-2,CPC002_PC3_6H_X2_B3_DUO52HI53LO:H06-1,CPC002_PC3_24H_X1_B3_DUO52HI53LO:H06-1,10.0
CN(C)CCOC(c1ccccc1)c1ccccc1C,LJP009_PC3_24H_X1_B20:N21-2,CPC002_PC3_6H_X4_B4_DUO52HI53LO:O19-1,CPC002_PC3_24H_X4_B4_DUO52HI53LO:O19-1,10.0
CN1CCCN=C1\C=C\c1cccc(O)c1,LJP006_PC3_24H_X2_B19:N24-2,CPC004_PC3_6H_X1_B3_DUO52HI53LO:J14-1,CPC004_PC3_24H_X3_B3_DUO52HI53LO:J14-1,10.0
Cc1ccc(O)c(N=Nc2ccccc2)n1,ERG014_PC3_24H_X1_B10_DUO52HI53LO:E23-1,CPC002_PC3_6H_X5_F1B5_DUO52HI53LO:N22-1,CPC002_PC3_24H_X1_B3_DUO52HI53LO:N22-1,10.0
COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O,HDAC002_PC3_6H_X2_B7_DUO52HI53LO:B24-1,ASG001_PC3_6H_X3_B7_DUO52HI53LO:M02-1,DOS051_PC3_24H_X2_F2B3_DUO52HI53LO:A03-1,10.0
CC(\C=C(C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C,DOS033_PC3_24H_X1_F2B4_DUO52HI53LO:F18-1,ASG001_PC3_6H_X3_B7_DUO52HI53LO:K04-1,ASG001_PC3_24H_X4_B7_DUO52HI53LO:K04-1,0.4
CN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,ERG012_PC3_24H_X3.A2_B7_DUO52HI53LO:N23-1,ASG001_PC3_6H_X3_B7_DUO52HI53LO:M11-1,CPC005_PC3_24H_X3_B4_DUO52HI53LO:O21-1,10.0
ONC(=O)CCCCCCC(=O)Nc1ccccc1,CPC001_PC3_24H_X2_B3_DUO52HI53LO:N10-1,CPC002_PC3_6H_X4_B4_DUO52HI53LO:B04-1,ASG001_PC3_24H_X2_B7_DUO52HI53LO:A05-1,10.0
ONC(=O)CCCCCCC(=O)Nc1ccccc1,RAD001_PC3_24H_X3_F1B5_DUO52HI53LO:B21-1,ASG001_PC3_6H_X3_B7_DUO52HI53LO:A05-1,CPC020_PC3_24H_X5_B5_DUO52HI53LO:B04-1,10.0
ONC(=O)CCCCCCC(=O)Nc1ccccc1,REP.A012_PC3_24H_X2_B22:A05-2,ASG001_PC3_6H_X4_B7_DUO52HI53LO:E05-1,PCLB002_PC3_24H_X3_B13:C13-1,10.0
COCC1OC(=O)c2coc3c2C1(C)C1=C(C2CCC(=O)C2(C)CC1OC(C)=O)C3=O,DEB001_PC3_24H_X2_F1B6_DUO52HI53LO:N01-1,CPC003_PC3_6H_X3_B3_DUO52HI53LO:A04-1,CPC009_PC3_24H_X3_F1B4_DUO52HI53LO:A04-1,10.0
COCC1OC(=O)c2coc3c2C1(C)C1=C(C2CCC(=O)C2(C)CC1OC(C)=O)C3=O,DOS034_PC3_24H_X3_F2B4_DUO52HI53LO:I21-1,ASG001_PC3_6H_X4_B7_DUO52HI53LO:B03-1,ASG001_PC3_24H_X2_B7_DUO52HI53LO:F03-1,2.0
CC1CC(CC(C)(C)C1)OC(=O)c1ccccc1O,REP.A009_PC3_24H_X1_B24:F12-2,CPD003_PC3_6H_X1_B6_DUO52HI53LO:J22-1,CPC003_PC3_24H_X1_B3_DUO52HI53LO:I09-1,10.0
OC(=O)CCc1nc(c(o1)-c1ccccc1)-c1ccccc1,REP.A003_PC3_24H_X2_B22:B03-2,CPC011_PC3_6H_X1_B3_DUO52HI53LO:L15-1,CPC004_PC3_24H_X5_B5_DUO52HI53LO:H17-1,10.0
COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O,DEB001_PC3_6H_X4_F1B6_DUO52HI53LO:A21-1,CPC012_PC3_6H_X5_F1B5_DUO52HI53LO:A03-1,ASG001_PC3_24H_X2_B7_DUO52HI53LO:M02-1,10.0
CC(\C=C(C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C,ASG001_PC3_24H_X4_B7_DUO52HI53LO:D01-1,ERG015_PC3_6H_X1_B10_DUO52HI53LO:K03-1,CPC002_PC3_24H_X5_F1B5_DUO52HI53LO:B03-1,10.0
Clc1ccc2Oc3ccccc3N=C(N3CCNCC3)c2c1,DOS006_VCAP_6H_X2_B3_DUO52HI53LO:G19-1,CPC004_VCAP_6H_X5_B5_DUO52HI53LO:E01-1,CPC004_VCAP_24H_X1_F1B5_DUO52HI53LO:E01-1,10.0
CC1=NN=C(c2ccc(N)cc2)c2cc3OCOc3cc2C1,CPC019_VCAP_24H_X2_F2B4_DUO52HI53LO:F06-1,CPC002_VCAP_6H_X1_F1B5_DUO52HI53LO:E19-1,CPC002_VCAP_24H_X1_B3_DUO52HI53LO:E19-1,10.0
CC(C)[C@H]1c2ccc(F)cc2CC[C@@]1(CCN(C)CCCc1nc2ccccc2[nH]1)OC(=O)C1CC1,DOS002_VCAP_24H_X1_B2_DUO52HI53LO:L07-1,CPC003_VCAP_6H_X4_B5_DUO52HI53LO:L03-1,ERG006_VCAP_24H_X1_B3_DUO52HI53LO:A04-1,10.0
ONC(=O)Cc1ccccc1,DOS026_VCAP_24H_X1_B2_DUO53HI52LO:H03-1,CPC001_VCAP_6H_X1_F1B5_DUO52HI53LO:M08-1,CPC001_VCAP_24H_X4_F1B5_DUO52HI53LO:M08-1,10.0
CN1C(C(=O)Nc2ccccn2)C(=O)c2ccccc2S1(=O)=O,DOS008_VCAP_6H_X1_F1B6_DUO52HI53LO:I06-1,CPC004_VCAP_6H_X5_B5_DUO52HI53LO:P07-1,CPC011_VCAP_24H_X5_B5_DUO52HI53LO:N12-1,10.0
COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O,CPC011_VCAP_24H_X5_B5_DUO52HI53LO:E01-1,CPC002_VCAP_6H_X1_F1B5_DUO52HI53LO:A03-1,CPC002_VCAP_24H_X2_B3_DUO52HI53LO:A03-1,10.0
CC(\C=C(C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C,DOS012_VCAP_6H_X5_F1B6_DUO52HI53LO:E09-1,CPC004_VCAP_6H_X2_F1B5_DUO52HI53LO:B03-1,DOS002_VCAP_24H_X2_B2_DUO53HI52LO:E10-1,10.0
ONC(=O)CCCCCCC(=O)Nc1ccccc1,DOS014_VCAP_24H_X4_B3_DUO52HI53LO:I06-1,CPC001_VCAP_6H_X3_F1B5_DUO52HI53LO:B04-1,DOS018_VCAP_24H_X2_B3_DUO52HI53LO:C12-1,10.0
CCCCN1CCCC1CNC(=O)c1cc(C#N)c2ccccc2c1OC,DOS017_VCAP_24H_X3_B3_DUO52HI53LO:E02-1,CPC010_VCAP_6H_X1_F1B4_DUO52HI53LO:A23-1,CPC001_VCAP_24H_X5_F2B4_DUO52HI53LO:F02-1,10.0
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,CPC006_VCAP_24H_X3_B3_DUO52HI53LO:B18-1,CPC020_VCAP_6H_X1_F1B3_DUO52HI53LO:F02-1,CPC002_VCAP_24H_X3_B3_DUO52HI53LO:G08-1,10.0
COCC1OC(=O)c2coc3c2C1(C)C1=C(C2CCC(=O)C2(C)CC1OC(C)=O)C3=O,ERG003_VCAP_24H_X1_B1_DUO44HI45LO:M21-1,DOS013_VCAP_6H_X1_F1B6_DUO52HI53LO:E18-1,CPC004_VCAP_24H_X4_F1B5_DUO52HI53LO:A04-1,10.0
Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(c1)C(=O)N[C@H](CO)c1cccc(Cl)c1,REP.A014_A375_24H_X1_B23:J14-2,CPC006_A375_6H_X1_B3_DUO52HI53LO:N14-1,CPC006_A375_24H_X2_B3_DUO52HI53LO:N14-1,0.5
S=C=NCCc1ccccc1,LJP006_A375_24H_X2_B19:F09-2,CPC006_A375_6H_X5_B4_DUO52HI53LO:G16-1,CPC006_A375_24H_X4_B4_DUO52HI53LO:G16-1,10.0
CN(C)CCCN1c2ccccc2Sc2ccccc12,REP.A022_A375_24H_X1_B23:J15-2,CPC006_A375_6H_X4_B4_DUO52HI53LO:E10-1,CPC006_A375_24H_X3_B3_DUO52HI53LO:E10-1,10.0
OC[C@H](Cc1ccccc1)Nc1nc(Oc2ccc3CCCc3c2)nc2n(Cc3ccc(cc3)-c3ccccc3)cnc12,CPC008_A375_6H_X1_B3_DUO52HI53LO:A17-1,CPC006_A375_6H_X2_F2B4_DUO52HI53LO:J22-1,CPC006_A375_24H_X3_B3_DUO52HI53LO:J22-1,10.0
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,REP.A024_A375_24H_X1_B23:F11-2,CPC006_A375_6H_X4_B4_DUO52HI53LO:G13-1,CPC006_A375_24H_X4_B4_DUO52HI53LO:G13-1,10.0
COCC1OC(=O)c2coc3c2C1(C)C1=C(C2CCC(=O)C2(C)CC1OC(C)=O)C3=O,DOS046_A375_24H_X3_F3B5_DUO52HI53LO:E09-1,CPC019_A375_6H_X2_B4_DUO52HI53LO:A04-1,CPC006_A375_24H_X1_B3_DUO52HI53LO:A04-1,10.0
